GEOID,category,weighted_score
36005000100,Center,26
36005000100,Family,23
36005000100,School,8
36005000100,Store,12
36005000100,Workforce Development/Job Plus Site,1
36005000100,NA,NA
36005000200,Center,294
36005000200,Family,1379
36005000200,School,126
36005000200,Store,1034
36005000200,Workforce Development/HRA Job Center,6
36005000200,Workforce Development/Job Plus Site,4
36005000200,Workforce Development/Workforce1 Career Center,4
36005000200,NA,NA
36005000400,Center,308
36005000400,Family,1449
36005000400,School,136
36005000400,Store,1182
36005000400,Workforce Development/HRA Job Center,7
36005000400,Workforce Development/Job Plus Site,4
36005000400,Workforce Development/Workforce1 Career Center,4
36005000400,NA,NA
36005001600,Center,398
36005001600,Family,2042
36005001600,School,165
36005001600,Store,1499
36005001600,Workforce Development/HRA Job Center,9
36005001600,Workforce Development/Job Plus Site,4
36005001600,Workforce Development/Workforce1 Career Center,7
36005001600,NA,NA
36005001900,Center,626
36005001900,Family,2887
36005001900,School,268
36005001900,Store,2654
36005001900,Workforce Development/HRA Job Center,17
36005001900,Workforce Development/Job Plus Site,5
36005001900,Workforce Development/Workforce1 Career Center,9
36005001900,NA,NA
36005002000,Center,349
36005002000,Family,1666
36005002000,School,146
36005002000,Store,1280
36005002000,Workforce Development/HRA Job Center,9
36005002000,Workforce Development/Job Plus Site,4
36005002000,Workforce Development/Workforce1 Career Center,4
36005002000,NA,NA
36005002300,Center,758
36005002300,Family,3060
36005002300,School,315
36005002300,Store,2892
36005002300,Workforce Development/HRA Job Center,18
36005002300,Workforce Development/Job Plus Site,6
36005002300,Workforce Development/Workforce1 Career Center,10
36005002300,NA,NA
36005002400,Center,474
36005002400,Family,2439
36005002400,School,195
36005002400,Store,1864
36005002400,Workforce Development/HRA Job Center,12
36005002400,Workforce Development/Job Plus Site,4
36005002400,Workforce Development/Workforce1 Career Center,6
36005002400,NA,NA
36005002500,Center,720
36005002500,Family,3002
36005002500,School,301
36005002500,Store,2836
36005002500,Workforce Development/HRA Job Center,19
36005002500,Workforce Development/Job Plus Site,6
36005002500,Workforce Development/Workforce1 Career Center,11
36005002500,NA,NA
36005002701,Center,643
36005002701,Family,2899
36005002701,School,277
36005002701,Store,2700
36005002701,Workforce Development/HRA Job Center,16
36005002701,Workforce Development/Job Plus Site,6
36005002701,Workforce Development/Workforce1 Career Center,9
36005002701,NA,NA
36005002702,Center,691
36005002702,Family,2985
36005002702,School,295
36005002702,Store,2803
36005002702,Workforce Development/HRA Job Center,18
36005002702,Workforce Development/Job Plus Site,6
36005002702,Workforce Development/Workforce1 Career Center,10
36005002702,NA,NA
36005002800,Center,524
36005002800,Family,2714
36005002800,School,226
36005002800,Store,2117
36005002800,Workforce Development/HRA Job Center,16
36005002800,Workforce Development/Job Plus Site,4
36005002800,Workforce Development/Workforce1 Career Center,7
36005002800,NA,NA
36005003100,Center,657
36005003100,Family,2966
36005003100,School,288
36005003100,Store,2716
36005003100,Workforce Development/HRA Job Center,17
36005003100,Workforce Development/Job Plus Site,6
36005003100,Workforce Development/Workforce1 Career Center,10
36005003100,NA,NA
36005003300,Center,630
36005003300,Family,2932
36005003300,School,270
36005003300,Store,2661
36005003300,Workforce Development/HRA Job Center,17
36005003300,Workforce Development/Job Plus Site,5
36005003300,Workforce Development/Workforce1 Career Center,9
36005003300,NA,NA
36005003500,Center,605
36005003500,Family,2902
36005003500,School,262
36005003500,Store,2539
36005003500,Workforce Development/HRA Job Center,17
36005003500,Workforce Development/Job Plus Site,5
36005003500,Workforce Development/Workforce1 Career Center,10
36005003500,NA,NA
36005003700,Center,588
36005003700,Family,2885
36005003700,School,251
36005003700,Store,2427
36005003700,Workforce Development/HRA Job Center,17
36005003700,Workforce Development/Job Plus Site,5
36005003700,Workforce Development/Workforce1 Career Center,9
36005003700,NA,NA
36005003800,Center,406
36005003800,Family,2077
36005003800,School,175
36005003800,Store,1573
36005003800,Workforce Development/HRA Job Center,9
36005003800,Workforce Development/Job Plus Site,4
36005003800,Workforce Development/Workforce1 Career Center,5
36005003800,NA,NA
36005003900,Center,716
36005003900,Family,3027
36005003900,School,300
36005003900,Store,2811
36005003900,Workforce Development/HRA Job Center,18
36005003900,Workforce Development/Job Plus Site,6
36005003900,Workforce Development/Workforce1 Career Center,10
36005003900,NA,NA
36005004001,Center,495
36005004001,Family,2477
36005004001,School,203
36005004001,Store,1774
36005004001,Workforce Development/HRA Job Center,9
36005004001,Workforce Development/Job Plus Site,4
36005004001,Workforce Development/Workforce1 Career Center,7
36005004001,NA,NA
36005004100,Center,620
36005004100,Family,2910
36005004100,School,268
36005004100,Store,2641
36005004100,Workforce Development/HRA Job Center,17
36005004100,Workforce Development/Job Plus Site,5
36005004100,Workforce Development/Workforce1 Career Center,10
36005004100,NA,NA
36005004200,Center,474
36005004200,Family,2420
36005004200,School,193
36005004200,Store,1801
36005004200,Workforce Development/HRA Job Center,9
36005004200,Workforce Development/Job Plus Site,4
36005004200,Workforce Development/Workforce1 Career Center,7
36005004200,NA,NA
36005004300,Center,608
36005004300,Family,2904
36005004300,School,262
36005004300,Store,2615
36005004300,Workforce Development/HRA Job Center,17
36005004300,Workforce Development/Job Plus Site,5
