resource_geoid,category,count
36085000900,food retail,2
36061009800,food retail,5
36061010000,food retail,3
36061010200,food retail,5
36061010400,food retail,4
36061011300,food retail,8
36061011402,food retail,5
36061013000,food retail,3
36061014000,food retail,4
36061014801,food retail,1
36061018400,food retail,13
36061019000,food retail,5
36061020600,food retail,6
36047007800,food retail,7
36047008000,food retail,6
36061024900,food retail,1
36061026100,food retail,4
36061026300,food retail,7
36061026900,food retail,10
36061027700,food retail,7
36047000501,food retail,1
36047004100,food retail,2
36047005800,food retail,4
36047006000,food retail,3
36047006700,food retail,6
36047006900,food retail,5
36047007400,food retail,10
36047009800,food retail,15
36047010100,food retail,6
36047010200,food retail,11
36047010400,food retail,14
36047010800,food retail,5
36047011000,food retail,4
36047011400,food retail,3
36047012801,food retail,4
36047013000,food retail,11
36047013200,food retail,5
36047013300,food retail,4
36047013700,food retail,6
36047013900,food retail,6
36047015100,food retail,5
36047015300,food retail,3
36047015500,food retail,2
36047015700,food retail,5
36085029102,food retail,6
36047017000,food retail,4
36047017800,food retail,8
36047018600,food retail,3
36047018800,food retail,5
36047019000,food retail,6
36047019200,food retail,6
36047019400,food retail,4
36047019500,food retail,4
36047019600,food retail,4
36047019700,food retail,1
36047019800,food retail,1
36047020400,food retail,0
36047020800,food retail,1
36047021000,food retail,1
36047021200,food retail,6
36047021400,food retail,1
36047021900,food retail,4
36047022000,food retail,12
36047022100,food retail,5
36047022200,food retail,8
36047022700,food retail,11
36047023500,food retail,5
36047023600,food retail,5
36047023800,food retail,5
36047024000,food retail,5
36047024200,food retail,2
36047024500,food retail,4
36047024600,food retail,1
36047024700,food retail,14
36047024800,food retail,10
36047024900,food retail,10
36047025000,food retail,3
36047040600,food retail,2
36047025200,food retail,7
36047025400,food retail,7
36047025600,food retail,0
36047025800,food retail,5
36047026000,food retail,13
36047026200,food retail,2
36047026300,food retail,2
36047026400,food retail,8
36047026600,food retail,1
36047026700,food retail,5
36047026800,food retail,2
36047026900,food retail,12
36047027000,food retail,0
36047027200,food retail,2
36047027300,food retail,5
36047027400,food retail,2
36047027600,food retail,10
36047027800,food retail,2
36047027900,food retail,2
36047028400,food retail,5
36047028501,food retail,3
36047028800,food retail,3
36047029100,food retail,4
36047029300,food retail,3
36047029700,food retail,3
36047029800,food retail,6
36047030000,food retail,8
36047030500,food retail,8
36047030900,food retail,1
36047031701,food retail,5
36047032300,food retail,5
36047032900,food retail,3
36047033100,food retail,5
36047033700,food retail,3
36047033900,food retail,5
36047034100,food retail,0
36047034200,food retail,12
36047036300,food retail,2
36047038800,food retail,1
36047039600,food retail,3
36047039700,food retail,6
36047039900,food retail,2
36047040100,food retail,2
36047040400,food retail,1
36047040800,food retail,6
36047041300,food retail,2
36047041401,food retail,5
36047041500,food retail,0
36047041700,food retail,2
36047041800,food retail,6
36047041900,food retail,4
36047042000,food retail,1
36047042100,food retail,5
36047042600,food retail,11
36047042700,food retail,9
36047042800,food retail,5
36047042900,food retail,12
36047043000,food retail,9
36047043100,food retail,9
36047043200,food retail,7
36047043300,food retail,4
36047043400,food retail,1
36047043500,food retail,4
36047043600,food retail,4
36047043900,food retail,6
36047044000,food retail,0
36047044100,food retail,6
36047044200,food retail,1
36047044300,food retail,6
36047044400,food retail,1
36047044600,food retail,2
36047045200,food retail,0
36047045400,food retail,3
36047045600,food retail,2
36047046000,food retail,1
36047047000,food retail,3
36047047200,food retail,1
36047047600,food retail,6
36047049500,food retail,6
36047049900,food retail,1
36047050300,food retail,6
36047050500,food retail,9
36047050801,food retail,4
36047051001,food retail,2
36047051400,food retail,5
36047051601,food retail,0
36047051602,food retail,4
36047051700,food retail,6
36047051800,food retail,4
36047052000,food retail,12
36047052600,food retail,5
36047052800,food retail,6
36047053000,food retail,2
36047053200,food retail,3
36047053300,food retail,7
36047053400,food retail,4
36047053800,food retail,1
36047054200,food retail,6
36047054400,food retail,2
36047055000,food retail,7
36047055200,food retail,8
36047055800,food retail,2
36047056000,food retail,0
36047056200,food retail,0
36047056400,food retail,3
36047056600,food retail,1
36047056800,food retail,1
36047056900,food retail,8
36047057000,food retail,4
36047057100,food retail,9
36047057200,food retail,4
36047057300,food retail,3
36047057400,food retail,2
36047057600,food retail,2
36047057800,food retail,6
36047058000,food retail,5
36047058600,food retail,5
36047059100,food retail,2
36047059200,food retail,9
36047059401,food retail,4
36047059402,food retail,12
36047059600,food retail,3
36047060000,food retail,10
36047063200,food retail,0
36047063600,food retail,0
36047063800,food retail,0
36047064000,food retail,2
36047064600,food retail,0
36047064800,food retail,0
36047065000,food retail,3
36047065200,food retail,1
36047065400,food retail,0
36047065600,food retail,2
36047065800,food retail,2
36047066000,food retail,0
36047067000,food retail,0
36047067200,food retail,5
36047067400,food retail,3
36047067600,food retail,2
36047067800,food retail,1
36047068000,food retail,6
36047068200,food retail,1
36047068600,food retail,2
36047068800,food retail,1
36047069000,food retail,5
36047069200,food retail,1
36047072800,food retail,4
36047073400,food retail,0
36047073800,food retail,4
36047074000,food retail,3
36047074400,food retail,0
36047074600,food retail,5
36047074800,food retail,3
36047075000,food retail,4
36047075200,food retail,0
36047075400,food retail,0
36047075600,food retail,0
36047076000,food retail,0
36047076200,food retail,1
36047076400,food retail,1
36047076800,food retail,8
36047078400,food retail,0
36047079000,food retail,4
36047079200,food retail,0
36047079601,food retail,0
36047080000,food retail,3
36047080400,food retail,0
36047080600,food retail,4
36047081400,food retail,4
36047081800,food retail,7
36047082400,food retail,5
36047083200,food retail,0
36047083600,food retail,3
